Student_ID,Gender,Age,Course,City,Attendance,Study_Hours,Assignment_Score,Project_Score,Aptitude_Score,Communication_Score,Internship,Backlogs,Placement,Package_LPA
STU074,Male,19,MCA,Mumbai,81.1,7.6,83.9,100,78.0,45.6,No,0,Not Placed,0.0
STU075,Male,19,BCA,Noida,65.8,4.2,71.1,69.2,73.1,50.0,No,1,Not Placed,0.0
STU076,Male,25,MCA,Pune,93.1,1.8,75.4,57.0,54.4,77.7,Yes,0,Placed,5.91
STU077,Male,19,BTech,Lucknow,81.6,2.0,60.0,66.2,77.7,53.9,No,0,Not Placed,0.0
STU078,Male,21,BSc,Pune,77.5,3.2,93.2,79.2,74.7,65.7,No,0,Placed,6.78
STU079,Male,19,BCA,Mumbai,63.6,2.2,61.7,54.7,48.4,61.4,Yes,1,Not Placed,0.0
STU080,Female,18,BTech,Bengaluru,81.4,4.1,68.9,75.9,63.9,49.6,No,0,Not Placed,0.0
STU081,Male,24,BCA,Hyderabad,81.6,6.4,78.9,88.2,70.0,89.0,Yes,0,Placed,7.24
STU082,Male,19,MCA,Lucknow,75.3,4.9,71.1,85.8,75.6,65.1,No,0,Not Placed,0.0
STU083,Male,22,BSc,Hyderabad,82.9,5.1,72.9,77.4,73.0,77.0,Yes,0,Placed,7.7
STU084,Female,18,MCA,Bengaluru,75.9,6.0,83.3,90.5,72.0,62.6,Yes,2,Placed,5.83
STU085,Female,19,BSc,Lucknow,89.1,1.8,79.2,91.9,67.3,72.1,No,0,Placed,5.96
STU086,Female,20,BSc,Bengaluru,88.0,8.4,99.9,100,78.2,77.7,Yes,0,Placed,7.49
STU087,Male,21,BTech,Mumbai,74.5,8.7,87.0,98.1,71.3,48.4,Yes,0,Placed,7.72
STU088,Female,25,BSc,Noida,83.4,8.1,69.8,74.4,64.4,77.8,Yes,0,Placed,7.18
STU089,Male,22,BSc,Mumbai,77.5,1.9,56.6,68.0,59.3,81.2,No,0,Not Placed,0.0
STU090,Male,25,MCA,Delhi,73.5,5.1,64.8,82.2,71.3,53.8,No,0,Placed,5.73
STU091,Female,25,MCA,Mumbai,74.9,8.4,71.7,100,73.9,70.0,Yes,0,Placed,7.09
STU092,Male,23,BCA,Mumbai,81.0,2.6,73.8,62.6,86.0,62.1,No,0,Not Placed,0.0
STU093,Female,20,BCA,Lucknow,82.5,4.7,82.4,80.4,76.5,60.1,No,0,Placed,8.22
STU094,Female,19,BCA,Lucknow,82.9,8.1,76.3,87.8,79.7,77.9,No,0,Not Placed,0.0
STU095,Female,23,MCA,Pune,94.9,6.1,83.7,76.6,75.0,88.9,No,0,Placed,6.04
STU096,Female,22,BSc,Hyderabad,78.9,4.6,64.8,81.6,74.1,72.8,No,0,Not Placed,0.0
STU097,Male,22,BCA,Lucknow,85.7,3.5,71.9,81.2,64.3,65.0,No,0,Placed,5.89
STU098,Female,23,MCA,Mumbai,75.6,2.1,67.8,78.0,75.7,68.2,Yes,3,Not Placed,0.0
STU099,Male,25,BSc,Hyderabad,81.8,8.3,89.9,100,90.3,79.7,Yes,0,Placed,8.48
STU100,Female,19,BCA,Delhi,88.1,5.2,82.9,76.2,68.1,69.0,Yes,0,Placed,6.27
STU101,Male,23,BCA,Noida,93.7,5.6,84.0,79.7,93.2,48.3,No,0,Not Placed,0.0
STU102,Male,23,MCA,Pune,84.8,6.2,81.9,77.4,71.2,65.9,No,0,Not Placed,0.0
STU103,Female,20,MCA,Bengaluru,61.5,7.3,68.3,91.2,77.1,52.7,No,0,Not Placed,0.0
STU104,Female,22,BCA,Pune,85.4,2.9,63.5,83.3,72.1,49.7,No,0,Not Placed,0.0
STU105,Female,20,BSc,Noida,83.7,4.3,76.9,75.9,77.8,68.7,No,0,Placed,6.92
STU106,Female,25,BSc,Hyderabad,67.5,4.8,74.9,70.8,72.0,76.3,No,0,Placed,5.61
STU107,Female,23,MCA,Bengaluru,93.6,2.6,63.4,62.6,70.7,77.8,No,0,Not Placed,0.0
STU108,Male,25,BTech,Noida,75.1,7.2,70.5,85.5,61.3,59.8,Yes,0,Placed,6.06
STU109,Female,25,MCA,Hyderabad,98.2,3.6,85.1,90.4,64.1,58.9,No,0,Placed,5.5
STU110,Female,23,BCA,Mumbai,80.1,3.7,70.8,82.2,62.9,45.6,No,0,Not Placed,0.0
STU111,Male,21,BSc,Bengaluru,58.2,5.7,59.8,91.5,53.8,44.9,Yes,0,Not Placed,0.0
STU112,Female,24,BCA,Delhi,65.4,3.9,75.6,84.1,59.4,78.6,No,0,Not Placed,0.0
STU113,Female,18,BCA,Noida,79.3,3.8,82.1,97.9,70.6,85.0,Yes,1,Not Placed,0.0
STU114,Male,22,BCA,Lucknow,78.9,2.8,73.9,74.0,56.1,56.8,No,0,Not Placed,0.0
STU115,Male,18,BTech,Hyderabad,82.6,7.3,72.3,96.6,60.4,55.3,No,0,Not Placed,0.0
STU116,Female,22,BSc,Pune,62.3,1.9,53.0,68.6,63.9,70.1,No,0,Not Placed,0.0
STU117,Male,23,BCA,Delhi,73.4,5.0,72.5,88.9,75.0,61.8,No,0,Not Placed,0.0
STU118,Female,23,MCA,Pune,85.7,5.2,68.6,81.3,70.0,84.5,No,0,Placed,6.27
STU119,Female,22,BCA,Lucknow,88.5,4.7,79.8,93.9,59.5,72.0,No,0,Not Placed,0.0
STU120,Female,25,BTech,Bengaluru,87.7,6.2,87.2,89.0,69.8,40,No,0,Placed,7.81
STU121,Female,18,BCA,Bengaluru,59.5,6.9,76.3,81.7,82.1,66.8,No,0,Placed,5.41
STU122,Female,25,BTech,Noida,78.2,1.6,56.1,63.4,66.5,59.3,No,0,Not Placed,0.0
STU123,Male,18,BSc,Delhi,67.7,6.2,90.2,82.1,56.5,49.4,No,1,Not Placed,0.0
STU124,Female,21,BSc,Pune,78.9,6.1,76.0,72.7,74.8,73.1,No,0,Not Placed,0.0
STU125,Female,20,BSc,Bengaluru,91.3,4.1,67.9,69.7,83.3,68.5,No,0,Placed,5.4
STU126,Female,21,BTech,Bengaluru,85.9,6.8,78.7,82.7,61.3,83.8,No,0,Not Placed,0.0
STU127,Female,24,BTech,Hyderabad,93.7,7.5,84.9,100,74.8,59.2,Yes,0,Placed,5.66
STU128,Female,20,BCA,Mumbai,81.8,5.9,73.9,87.1,86.4,67.1,No,0,Placed,6.57
STU129,Male,18,MCA,Hyderabad,76.2,8.5,89.5,94.8,83.8,73.4,No,0,Placed,6.04
STU130,Male,20,BSc,Lucknow,89.9,2.8,69.0,97.9,50.2,42.5,No,0,Not Placed,0.0
STU131,Female,19,BTech,Pune,72.2,8.9,83.1,91.2,72.7,87.5,Yes,0,Placed,6.79
STU132,Female,20,BCA,Delhi,84.9,7.4,71.0,85.2,84.0,93.7,No,0,Placed,6.69
STU133,Female,23,MCA,Hyderabad,55.1,4.4,60.8,70.7,66.3,53.6,Yes,0,Placed,6.09
STU134,Male,25,BTech,Pune,67.2,6.6,89.8,86.8,72.2,56.7,No,0,Placed,7.19
STU135,Female,24,BSc,Bengaluru,85.5,7.5,81.3,100,60.3,63.7,No,0,Placed,5.55
STU136,Male,18,MCA,Pune,80.7,2.6,65.2,80.5,69.8,68.6,Yes,0,Not Placed,0.0
STU137,Male,24,BSc,Lucknow,80.5,5.7,74.2,79.8,78.5,45.8,Yes,0,Placed,6.71
STU138,Male,25,BCA,Pune,72.3,2.8,57.8,77.6,74.4,77.1,No,0,Not Placed,0.0
STU139,Female,19,MCA,Bengaluru,82.7,4.1,72.4,84.0,79.3,67.8,Yes,1,Not Placed,0.0
STU140,Female,24,MCA,Lucknow,70.9,4.1,64.4,73.9,89.2,85.1,No,0,Not Placed,0.0
STU141,Male,21,BCA,Bengaluru,64.1,1.8,71.4,61.1,51.2,46.3,Yes,3,Not Placed,0.0
STU142,Female,21,BTech,Bengaluru,80.8,7.3,73.4,93.7,67.5,89.1,Yes,0,Placed,7.37
STU143,Male,24,BSc,Delhi,60.2,4.1,61.5,69.7,48.8,57.6,Yes,2,Not Placed,0.0
STU144,Female,20,BSc,Lucknow,91.4,5.7,91.2,89.8,77.8,61.0,No,0,Not Placed,0.0
STU145,Male,18,BTech,Noida,75.3,6.0,79.4,89.6,75.0,59.7,Yes,0,Not Placed,0.0
STU146,Male,21,MCA,Pune,94.3,2.4,83.1,77.5,67.4,61.7,No,0,Not Placed,0.0
STU147,Female,23,BTech,Delhi,71.4,5.3,69.6,83.0,79.6,78.5,No,0,Placed,6.11
STU148,Male,22,BSc,Hyderabad,72.6,3.0,65.7,74.8,77.0,40,Yes,0,Not Placed,0.0
STU149,Female,25,MCA,Lucknow,84.8,4.1,68.9,84.9,78.2,72.8,No,0,Not Placed,0.0
STU150,Male,18,BSc,Hyderabad,66.1,6.2,58.0,86.2,71.7,50.3,No,0,Not Placed,0.0
STU151,Female,18,BCA,Delhi,79.7,4.6,75.2,95.2,70.2,66.9,No,0,Not Placed,0.0
STU152,Male,19,MCA,Noida,70.6,6.1,84.2,90.7,79.3,88.4,Yes,0,Placed,8.64
STU153,Male,18,BCA,Lucknow,76.2,4.3,61.2,78.2,66.1,71.8,No,0,Not Placed,0.0
STU154,Male,21,MCA,Delhi,90.8,6.7,77.7,88.1,88.2,49.9,No,0,Placed,6.75
STU155,Male,24,BCA,Lucknow,72.8,5.7,73.6,71.5,61.6,62.0,No,0,Not Placed,0.0
STU156,Female,18,BCA,Pune,77.1,7.8,79.5,87.7,88.9,73.8,Yes,0,Not Placed,0.0
STU157,Male,23,BSc,Hyderabad,76.9,6.6,86.7,91.6,68.5,69.9,Yes,0,Placed,6.04
STU158,Male,24,BTech,Lucknow,74.8,2.2,74.8,70.8,63.2,44.8,No,0,Not Placed,0.0
STU159,Male,19,BTech,Delhi,80.3,6.0,81.5,73.9,81.8,72.8,No,0,Not Placed,0.0
STU160,Male,24,MCA,Delhi,66.1,3.8,64.7,76.1,54.9,64.9,Yes,0,Placed,5.78
STU161,Female,19,MCA,Delhi,72.9,8.6,74.4,90.6,87.4,75.1,No,0,Not Placed,0.0
STU162,Female,23,MCA,Mumbai,78.3,2.8,75.7,70.7,69.9,63.4,No,0,Not Placed,0.0
STU163,Female,23,BCA,Mumbai,92.3,3.0,59.3,76.3,67.5,88.0,No,0,Not Placed,0.0
STU164,Male,24,BSc,Mumbai,66.2,3.8,69.8,77.7,70.3,54.3,No,0,Not Placed,0.0
STU165,Female,18,BTech,Hyderabad,83.9,7.6,89.5,83.2,63.0,53.9,Yes,0,Placed,7.96
STU166,Female,23,BSc,Hyderabad,64.4,2.2,65.4,83.6,46.7,53.9,No,0,Not Placed,0.0
STU167,Male,23,BCA,Hyderabad,78.4,3.7,74.7,77.5,74.4,47.3,Yes,0,Placed,6.67
STU168,Female,23,BCA,Delhi,72.8,7.6,82.4,100,86.2,70.8,No,0,Placed,6.63
STU169,Female,24,BSc,Mumbai,70.3,4.5,75.4,92.6,64.4,72.2,Yes,0,Placed,7.03
STU170,Male,19,MCA,Noida,75.0,3.0,63.5,81.7,74.3,68.1,No,0,Placed,6.23
STU171,Female,20,BTech,Pune,91.6,5.9,78.6,82.0,73.6,66.5,Yes,0,Placed,6.4
STU172,Male,20,BSc,Hyderabad,72.4,2.9,63.8,78.6,52.2,83.0,Yes,0,Not Placed,0.0
STU173,Female,24,BSc,Pune,76.5,7.8,78.5,91.5,74.7,51.5,Yes,0,Placed,6.55
STU174,Female,19,BCA,Hyderabad,71.6,5.6,84.0,88.4,69.8,53.6,Yes,0,Not Placed,0.0
STU175,Male,22,BCA,Hyderabad,77.4,4.1,75.8,73.0,84.4,52.8,No,0,Not Placed,0.0
STU176,Female,20,MCA,Mumbai,86.4,7.6,87.8,87.6,62.5,54.0,No,0,Not Placed,0.0
STU177,Male,20,BSc,Noida,91.6,8.9,92.1,100,84.3,65.9,No,0,Placed,5.92
STU178,Female,24,BSc,Mumbai,62.4,7.5,76.3,93.9,61.1,71.4,Yes,0,Placed,5.58
STU179,Male,25,BTech,Hyderabad,88.6,7.5,67.9,100,81.2,49.0,Yes,0,Placed,8.37
STU180,Male,18,BCA,Hyderabad,82.0,7.8,71.9,100,77.7,40,Yes,0,Not Placed,0.0
STU181,Female,20,BTech,Lucknow,63.6,4.2,74.5,91.0,72.2,82.0,No,0,Placed,7.0
STU182,Male,18,MCA,Hyderabad,78.2,2.5,70.4,85.3,79.5,74.2,No,0,Placed,7.35
STU183,Male,19,BTech,Delhi,75.0,3.7,73.9,68.0,78.2,69.0,Yes,0,Placed,6.07
STU184,Female,23,MCA,Pune,82.1,2.6,59.9,76.5,67.7,51.2,No,0,Not Placed,0.0
STU185,Female,20,MCA,Bengaluru,72.0,2.1,55.2,63.1,48.6,66.6,No,0,Not Placed,0.0
STU186,Male,24,BTech,Pune,82.5,7.4,84.0,89.6,69.1,70.7,Yes,0,Placed,6.78
STU187,Female,23,MCA,Hyderabad,85.7,8.7,92.1,100,76.0,52.2,Yes,0,Placed,7.65
STU188,Female,24,BSc,Hyderabad,62.9,5.5,66.0,78.1,62.9,64.9,No,0,Not Placed,0.0
STU189,Male,22,BSc,Hyderabad,84.7,7.8,87.3,99.1,65.8,69.4,Yes,0,Placed,8.24
STU190,Male,20,BSc,Lucknow,93.6,5.4,89.8,93.0,57.0,59.4,Yes,0,Not Placed,0.0
STU191,Female,24,BTech,Mumbai,79.5,3.5,81.6,91.9,64.1,65.0,No,0,Placed,6.27
STU192,Male,19,MCA,Hyderabad,85.0,1.5,69.3,68.5,72.4,79.1,Yes,0,Placed,7.39
STU193,Female,21,BTech,Lucknow,70.9,8.4,68.9,87.2,91.5,77.7,Yes,0,Placed,8.62
STU194,Female,19,BSc,Mumbai,89.2,7.3,83.2,97.8,66.4,62.0,No,0,Placed,4.99
STU195,Male,21,MCA,Hyderabad,55.0,4.6,81.5,85.4,73.3,86.7,Yes,0,Not Placed,0.0
STU196,Female,19,MCA,Hyderabad,79.6,3.3,57.4,68.8,66.1,84.2,No,0,Not Placed,0.0
STU197,Female,25,BCA,Mumbai,80.9,5.3,73.1,78.9,62.6,80.3,Yes,0,Not Placed,0.0
STU198,Female,23,BTech,Noida,77.5,3.3,74.9,81.8,63.7,79.5,No,0,Placed,6.46
STU199,Male,25,BTech,Pune,77.8,7.9,94.2,100,69.6,76.4,Yes,0,Placed,7.0
STU200,Male,22,BTech,Lucknow,87.5,2.8,52.2,83.1,60.5,61.5,Yes,0,Placed,6.68
STU201,Male,20,MCA,Pune,87.7,4.3,68.6,70.7,62.7,70.8,Yes,0,Not Placed,0.0
STU202,Male,19,BTech,Pune,65.3,8.6,96.6,100,59.3,66.9,Yes,0,Placed,7.69
STU203,Male,18,MCA,Mumbai,82.5,5.2,73.4,90.7,62.6,42.7,No,0,Not Placed,0.0
STU204,Male,24,BTech,Mumbai,78.3,7.4,86.5,90.4,84.6,56.1,No,3,Not Placed,0.0
STU205,Female,23,MCA,Mumbai,95.3,2.3,75.9,71.1,60.2,80.6,No,0,Not Placed,0.0
STU206,Female,23,MCA,Delhi,67.9,5.9,72.2,90.2,54.5,92.7,No,0,Not Placed,0.0
STU207,Female,22,MCA,Mumbai,78.6,2.2,70.2,72.9,70.5,84.1,Yes,2,Not Placed,0.0
STU208,Female,18,BCA,Noida,66.6,6.8,75.4,92.6,74.4,66.6,No,0,Not Placed,0.0
STU209,Female,23,MCA,Noida,95.4,7.0,88.2,84.8,81.7,62.6,No,0,Not Placed,0.0
STU210,Male,20,BSc,Bengaluru,73.0,6.7,88.7,100,83.1,84.8,No,0,Placed,6.87
STU211,Female,21,BCA,Noida,92.6,2.6,73.7,69.0,72.9,80.5,Yes,0,Placed,7.67
STU212,Male,21,BCA,Pune,74.5,7.4,73.9,91.3,70.1,56.6,Yes,0,Placed,7.38
STU213,Male,25,MCA,Bengaluru,67.3,2.1,67.6,65.5,51.0,63.2,Yes,0,Not Placed,0.0
STU214,Male,23,BSc,Hyderabad,84.0,4.7,69.9,71.9,66.5,57.5,No,0,Not Placed,0.0
STU215,Female,22,BTech,Delhi,70.5,1.9,50.6,57.7,66.9,70.4,Yes,0,Not Placed,0.0
STU216,Male,18,MCA,Pune,67.7,3.7,81.4,89.0,61.0,68.7,No,2,Not Placed,0.0
STU217,Female,20,BSc,Pune,60.0,4.8,66.7,95.3,60.1,72.8,Yes,0,Not Placed,0.0
STU218,Male,18,BSc,Bengaluru,87.5,4.6,61.5,74.1,49.5,63.9,Yes,0,Not Placed,0.0
STU219,Male,19,BSc,Hyderabad,67.8,8.9,95.3,100,82.4,84.8,Yes,0,Placed,8.22
STU220,Male,19,BSc,Delhi,80.3,5.6,71.8,90.7,61.2,87.9,No,0,Placed,6.52
STU221,Male,19,BCA,Bengaluru,80.5,2.3,66.7,81.1,58.4,64.4,No,0,Placed,5.86
STU222,Female,18,BSc,Pune,90.2,4.0,81.0,83.4,85.7,83.4,No,0,Placed,6.75
STU223,Male,21,MCA,Noida,72.8,7.1,79.3,85.6,70.5,40,Yes,0,Placed,5.91
STU224,Male,20,BCA,Pune,73.2,5.3,74.8,95.0,83.5,80.3,No,0,Placed,7.09
STU225,Male,23,MCA,Bengaluru,71.9,7.7,68.1,90.4,75.1,59.3,No,0,Not Placed,0.0
STU226,Female,23,MCA,Hyderabad,88.2,3.4,76.1,75.5,70.8,80.3,No,0,Placed,6.37
STU227,Female,18,BCA,Pune,78.1,2.5,74.0,81.3,80.0,44.8,No,0,Not Placed,0.0
STU228,Female,25,BTech,Bengaluru,69.7,3.8,56.8,62.1,63.3,97.5,No,0,Not Placed,0.0
STU229,Female,22,BCA,Delhi,78.3,4.0,73.8,78.7,75.8,50.1,No,0,Not Placed,0.0
STU230,Male,24,BTech,Delhi,83.4,6.9,65.0,71.4,45.2,48.0,Yes,0,Not Placed,0.0
STU231,Female,21,BSc,Mumbai,91.0,6.5,87.0,77.8,73.5,82.6,Yes,0,Placed,6.87
STU232,Male,23,BCA,Bengaluru,69.9,3.2,73.2,70.8,71.3,61.1,No,1,Not Placed,0.0
STU233,Male,25,MCA,Noida,78.8,8.0,77.6,99.7,93.7,54.4,Yes,0,Placed,8.62
STU234,Male,19,BSc,Mumbai,73.9,8.9,78.2,97.4,79.3,63.9,No,0,Not Placed,0.0
STU235,Male,20,BSc,Delhi,82.2,4.5,88.4,94.4,66.7,48.4,Yes,0,Not Placed,0.0
STU236,Male,18,MCA,Bengaluru,70.1,8.1,87.1,97.4,78.1,61.7,Yes,0,Placed,7.79
STU237,Female,24,MCA,Delhi,74.2,8.3,78.4,100,96.2,59.1,Yes,0,Placed,7.89
STU238,Male,23,BCA,Lucknow,75.2,6.3,66.4,86.8,57.3,69.0,No,1,Not Placed,0.0
STU239,Female,25,MCA,Bengaluru,69.2,6.6,76.9,98.4,71.3,43.8,No,0,Not Placed,0.0
STU240,Male,22,BCA,Delhi,86.4,5.2,76.8,74.3,60.0,80.6,No,0,Not Placed,0.0
STU241,Female,23,MCA,Noida,54.0,6.5,68.9,99.5,57.2,75.2,No,0,Placed,6.65
STU242,Male,25,BTech,Lucknow,71.5,1.9,71.1,56.5,67.3,63.4,No,3,Not Placed,0.0
STU243,Male,20,BTech,Mumbai,74.7,4.8,61.3,66.9,83.4,58.5,No,0,Placed,5.03
STU244,Female,20,BCA,Mumbai,65.8,6.9,85.5,100,68.4,60.4,No,0,Not Placed,0.0
STU245,Female,18,MCA,Hyderabad,78.4,5.2,70.6,89.5,62.5,51.6,No,0,Not Placed,0.0
